,企業名,ティッカー,stock_diff,年度,株価の変化率,負債,end_date+60日の株価,企業価値,end_dateの日の株価,有利子負債/総資産比率,有形固定資産,キャッシュ時価総額比率,純資産,クラスタリング
94,"株式会社アドバンスト・メディア",3773.0,-2.087114337568058,2019.0,6,5,6,7,6,4,7.0,8,10,8
95,"株式会社アドバンスト・メディア",3773.0,-11.553398058252426,2019.0,4,5,5,7,4,4,7.0,9,10,1
96,"株式会社アドバンスト・メディア",3773.0,-15.806805708013172,2020.0,3,5,5,6,5,1,7.0,9,10,1
97,"株式会社アドバンスト・メディア",3773.0,13.428943937418511,2020.0,8,5,4,5,5,1,7.0,10,10,1
98,"株式会社アドバンスト・メディア",3773.0,-10.454545454545451,2020.0,4,5,5,6,4,1,7.0,9,10,1
99,"株式会社アドバンスト・メディア",3773.0,-11.901840490797548,2020.0,4,5,4,5,4,1,7.0,10,10,1
100,"株式会社自律制御システム研究所",6232.0,26.72521957340025,2018.0,9,1,10,9,9,1,3.0,4,9,10
101,"株式会社自律制御システム研究所",6232.0,-36.31578947368421,2018.0,1,1,10,9,9,1,3.0,3,9,10
102,"株式会社自律制御システム研究所",6232.0,-9.289256198347108,2019.0,4,1,9,9,10,1,3.0,5,9,10
103,"株式会社自律制御システム研究所",6232.0,18.4115523465704,2019.0,9,1,9,9,9,1,3.0,5,9,10
104,"株式会社自律制御システム研究所",6232.0,-15.527950310559005,2019.0,3,1,9,9,9,1,3.0,4,9,10
105,"株式会社自律制御システム研究所",6232.0,-26.94942903752039,2019.0,1,1,9,9,8,1,3.0,4,9,10
106,"株式会社自律制御システム研究所",6232.0,14.247431889236267,2020.0,8,1,8,8,8,1,4.0,5,9,10
107,"株式会社自律制御システム研究所",6232.0,11.571540265832684,2020.0,8,1,9,9,9,1,4.0,4,9,10
108,"株式会社自律制御システム研究所",6232.0,-7.009174311926605,2020.0,5,1,9,9,9,1,"",3,8,10
109,"株式会社ＡＣＳＬ（旧会社名　株式会社自律制御システム研究所）",6232.0,-17.333333333333336,2020.0,3,2,9,9,9,1,"",3,8,10
110,"神戸天然物化学株式会社",6568.0,-16.402877697841728,2018.0,3,8,8,7,9,6,10.0,7,10,2
111,"神戸天然物化学株式会社",6568.0,-21.929824561403507,2018.0,2,8,7,7,7,6,10.0,7,10,2
112,"神戸天然物化学株式会社",6568.0,7.0274636510500805,2018.0,7,8,6,5,7,5,10.0,8,10,8
113,"神戸天然物化学株式会社",6568.0,6.188679245283018,2019.0,7,7,6,6,7,5,10.0,7,10,8
114,"神戸天然物化学株式会社",6568.0,1.278409090909091,2019.0,6,6,7,6,6,5,10.0,3,10,8
115,"神戸天然物化学株式会社",6568.0,3.422818791946309,2019.0,7,8,7,7,7,6,10.0,4,10,8
116,"神戸天然物化学株式会社",6568.0,2.967741935483871,2019.0,7,8,7,7,5,6,10.0,4,10,8
117,"神戸天然物化学株式会社",6568.0,2.1929824561403506,2020.0,7,8,7,7,7,6,10.0,4,10,8
118,"神戸天然物化学株式会社",6568.0,-11.220110361741265,2020.0,4,7,7,7,7,5,10.0,4,10,8
119,"神戸天然物化学株式会社",6568.0,-5.77305905773059,2020.0,5,8,7,7,7,6,10.0,5,10,8
120,"神戸天然物化学株式会社",6568.0,-18.067226890756302,2020.0,3,8,7,6,7,6,10.0,6,10,2
121,"弁護士ドットコム株式会社",6027.0,11.11111111111111,2018.0,8,2,9,10,10,1,5.0,1,5,10
122,"弁護士ドットコム株式会社",6027.0,43.72523117569353,2018.0,10,2,10,10,9,1,5.0,1,5,10
123,"弁護士ドットコム株式会社",6027.0,-22.99065420560748,2018.0,2,2,10,10,10,1,5.0,1,6,10
124,"弁護士ドットコム株式会社",6027.0,35.19417475728155,2019.0,9,2,10,10,10,1,5.0,1,6,10
125,"弁護士ドットコム株式会社",6027.0,-10.483870967741936,2019.0,4,3,10,10,10,1,5.0,1,6,10
126,"弁護士ドットコム株式会社",6027.0,80.1526717557252,2019.0,10,2,10,10,10,1,5.0,1,6,10
127,"弁護士ドットコム株式会社",6027.0,26.02100350058343,2019.0,9,2,10,10,10,1,5.0,1,6,10
128,"弁護士ドットコム株式会社",6027.0,6.203703703703703,2020.0,7,2,10,10,10,1,5.0,1,6,10
129,"弁護士ドットコム株式会社",6027.0,-3.4873583260680032,2020.0,5,3,10,10,10,1,5.0,1,6,10
130,"弁護士ドットコム株式会社",6027.0,-12.525879917184266,2020.0,4,3,10,10,10,1,5.0,1,7,10
131,"弁護士ドットコム株式会社",6027.0,-28.47141190198366,2020.0,1,5,10,10,10,1,5.0,1,6,10
132,"ソーシャルワイヤー株式会社",3929.0,9.343936381709742,2018.0,8,7,5,4,6,7,8.0,4,3,9
133,"ソーシャルワイヤー株式会社",3929.0,-33.51351351351352,2018.0,1,7,6,5,6,8,8.0,4,3,2
134,"ソーシャルワイヤー株式会社",3929.0,8.485639686684072,2018.0,8,7,4,3,5,8,8.0,6,4,9
135,"ソーシャルワイヤー株式会社",3929.0,10.348977135980746,2019.0,8,8,4,4,5,9,9.0,6,4,9
136,"ソーシャルワイヤー株式会社",3929.0,44.506726457399104,2019.0,10,8,5,5,4,9,9.0,6,4,9
137,"ソーシャルワイヤー株式会社",3929.0,-15.765069551777431,2019.0,3,9,6,6,6,9,9.0,4,4,2
138,"ソーシャルワイヤー株式会社",3929.0,9.251700680272108,2019.0,8,9,4,4,3,9,9.0,7,4,9
139,"ソーシャルワイヤー株式会社",3929.0,2.2415940224159403,2020.0,7,9,4,4,5,9,9.0,6,4,9
140,"ソーシャルワイヤー株式会社",3929.0,3.1668696711327646,2020.0,7,9,4,4,6,9,9.0,6,4,9
141,"ソーシャルワイヤー株式会社",3929.0,-20.09626955475331,2020.0,2,9,4,5,4,9,9.0,6,3,9
142,"ソーシャルワイヤー株式会社",3929.0,-0.4518072289156626,2020.0,6,9,3,4,4,9,9.0,7,3,9
143,"ビープラッツ株式会社",4381.0,80.71942446043165,2018.0,10,1,10,5,10,5,2.0,1,1,3
144,"ビープラッツ株式会社",4381.0,-46.74085850556439,2018.0,1,1,10,7,10,5,1.0,1,1,3
145,"ビープラッツ株式会社",4381.0,-19.82608695652174,2018.0,2,2,10,5,10,7,1.0,1,1,3
146,"ビープラッツ株式会社",4381.0,-21.40274765003615,2019.0,2,1,9,5,9,7,1.0,1,1,3
147,"ビープラッツ株式会社",4381.0,-37.13636363636363,2019.0,1,2,8,4,9,9,1.0,2,1,3
148,"ビープラッツ株式会社",4381.0,5.789473684210527,2019.0,7,2,6,2,8,9,1.0,3,1,3
149,"ビープラッツ株式会社",4381.0,82.18340611353712,2019.0,10,3,6,2,4,9,1.0,4,1,7
150,"ビープラッツ株式会社",4381.0,43.48034515819751,2020.0,10,3,8,4,8,9,1.0,2,1,3
151,"ビープラッツ株式会社",4381.0,-3.374540594721016,2020.0,5,3,9,5,9,9,1.0,1,1,3
152,"ビープラッツ株式会社",4381.0,-14.345351043643264,2020.0,3,3,9,5,9,9,1.0,2,1,3
153,"ビープラッツ株式会社",4381.0,-32.60504201680672,2020.0,1,3,9,4,9,9,1.0,2,1,3
154,"ＷＤＢココ株式会社",7079.0,-4.493996569468268,2018.0,5,2,9,4,9,3,1.0,5,2,3
155,"ＷＤＢココ株式会社",7079.0,23.772183243912508,2019.0,9,3,9,3,9,1,5.0,5,3,7
156,"ＷＤＢココ株式会社",7079.0,-0.4908835904628331,2019.0,6,3,9,4,9,3,5.0,5,3,7
157,"ＷＤＢココ株式会社",7079.0,49.04862579281184,2020.0,10,2,9,4,9,1,5.0,5,3,7
158,"ＷＤＢココ株式会社",7079.0,0.0,2020.0,6,2,10,6,10,1,5.0,3,4,10
159,"ＷＤＢココ株式会社",7079.0,-18.96135265700483,2020.0,2,3,10,6,10,1,5.0,4,4,10
160,"ＷＤＢココ株式会社",7079.0,21.815519765739385,2020.0,9,3,10,5,10,4,5.0,5,5,10
161,"株式会社Ｊストリーム",4308.0,21.369294605809127,2018.0,9,4,1,3,1,3,7.0,8,8,1
162,"株式会社Ｊストリーム",4308.0,-9.20138888888889,2018.0,4,5,1,3,1,3,7.0,8,8,1
163,"株式会社Ｊストリーム",4308.0,-0.1908396946564885,2018.0,6,5,1,3,1,4,7.0,9,8,4
164,"株式会社Ｊストリーム",4308.0,1.5296367112810707,2019.0,7,5,1,3,1,3,7.0,9,8,4
165,"株式会社Ｊストリーム",4308.0,81.66351606805293,2019.0,10,6,1,3,1,3,7.0,8,8,4
166,"株式会社Ｊストリーム",4308.0,51.86125211505922,2019.0,10,6,3,7,2,3,7.0,4,8,1
167,"株式会社Ｊストリーム",4308.0,98.86363636363636,2019.0,10,7,5,8,3,5,7.0,3,8,8
168,"株式会社Ｊストリーム",4308.0,34.69387755102041,2020.0,9,7,8,9,6,3,7.0,2,8,8
169,"株式会社Ｊストリーム",4308.0,-4.94949494949495,2020.0,5,7,9,10,7,3,7.0,2,9,8
170,"株式会社Ｊストリーム",4308.0,-1.901565995525727,2020.0,6,8,8,9,9,3,7.0,4,10,8
171,"株式会社Ｊストリーム",4308.0,-43.852364475201846,2020.0,1,8,8,9,9,4,7.0,4,10,2
172,"アディッシュ株式会社",7093.0,28.717698683569,2018.0,9,2,8,2,7,7,3.0,6,1,7
173,"アディッシュ株式会社",7093.0,28.717698683569,2018.0,9,2,8,2,7,7,3.0,6,1,7
174,"アディッシュ株式会社",7093.0,28.717698683569,2019.0,9,3,8,2,7,7,4.0,6,1,7
175,"アディッシュ株式会社",7093.0,28.717698683569,2019.0,9,3,8,2,7,7,4.0,6,1,7
176,"アディッシュ株式会社",7093.0,44.15781487101669,2020.0,10,3,8,2,7,7,4.0,6,1,7
177,"アディッシュ株式会社",7093.0,-27.71929824561404,2020.0,1,3,9,3,9,6,4.0,4,2,3
178,"アディッシュ株式会社",7093.0,-14.466019417475728,2020.0,3,3,8,2,9,6,4.0,6,2,7
179,"アディッシュ株式会社",7093.0,-10.797546012269938,2020.0,4,3,7,2,7,6,4.0,7,2,7
180,"株式会社ＦＲＯＮＴＥＯ",2158.0,-24.24969987995198,2018.0,2,10,4,9,5,9,8.0,4,9,5
181,"株式会社ＦＲＯＮＴＥＯ",2158.0,-43.0622009569378,2018.0,1,10,3,9,3,9,8.0,6,9,5
182,"株式会社ＦＲＯＮＴＥＯ",2158.0,-32.4468085106383,2018.0,1,10,2,8,3,9,8.0,8,9,5
183,"株式会社ＦＲＯＮＴＥＯ",2158.0,26.37795275590551,2019.0,9,10,1,7,2,10,8.0,9,8,5
184,"株式会社ＦＲＯＮＴＥＯ",2158.0,-4.702194357366771,2019.0,5,10,2,8,2,10,8.0,7,8,5
185,"株式会社ＦＲＯＮＴＥＯ",2158.0,98.2698961937716,2019.0,10,9,1,7,2,9,8.0,5,8,5
186,"株式会社ＦＲＯＮＴＥＯ",2158.0,113.4020618556701,2019.0,10,9,2,8,1,9,8.0,4,8,5
187,"株式会社ＦＲＯＮＴＥＯ",2158.0,-17.27053140096618,2020.0,3,9,4,9,4,10,9.0,2,8,5
188,"株式会社ＦＲＯＮＴＥＯ",2158.0,8.175182481751825,2020.0,8,9,3,9,4,10,9.0,3,8,5
189,"株式会社ＦＲＯＮＴＥＯ",2158.0,7.032348804500703,2020.0,8,9,4,9,3,9,9.0,4,8,5
190,"株式会社ＦＲＯＮＴＥＯ",2158.0,71.85792349726776,2020.0,10,9,4,9,4,9,9.0,4,9,5
191,"株式会社ホットリンク",3680.0,-36.05051664753157,2018.0,1,7,5,7,5,7,"",6,9,6
192,"株式会社ホットリンク",3680.0,-24.0072202166065,2018.0,2,5,3,5,5,5,"",6,9,6
193,"株式会社ホットリンク",3680.0,-15.587529976019184,2018.0,3,5,2,3,2,5,4.0,8,9,6
194,"株式会社ホットリンク",3680.0,-15.193370165745856,2019.0,3,7,2,4,2,7,4.0,8,9,6
195,"株式会社ホットリンク",3680.0,4.88599348534202,2019.0,7,7,1,3,2,7,4.0,8,8,6
196,"株式会社ホットリンク",3680.0,4.037267080745342,2019.0,7,8,2,4,1,7,4.0,8,8,6
197,"株式会社ホットリンク",3680.0,40.54878048780488,2019.0,10,8,2,3,2,7,4.0,9,8,4
198,"株式会社ホットリンク",3680.0,85.92814371257485,2020.0,10,8,2,3,1,6,4.0,8,8,4
199,"株式会社ホットリンク",3680.0,-4.186795491143317,2020.0,5,8,3,6,3,6,3.0,6,8,6
200,"株式会社ホットリンク",3680.0,-6.386554621848739,2020.0,5,8,3,6,3,6,3.0,6,8,6
201,"株式会社ホットリンク",3680.0,26.33333333333333,2020.0,9,8,3,6,2,8,3.0,7,8,6
202,"株式会社ユーザベース",3966.0,-1.7959495605655331,2018.0,6,9,9,10,9,9,7.0,3,6,2
203,"株式会社ユーザベース",3966.0,-2.915451895043732,2018.0,6,10,9,10,9,10,7.0,2,9,2
204,"株式会社ユーザベース",3966.0,-7.263197304380382,2018.0,5,10,9,10,7,9,7.0,3,9,2
205,"株式会社ユーザベース",3966.0,8.826013513513512,2019.0,8,10,9,10,9,10,7.0,3,9,2
206,"株式会社ユーザベース",3966.0,-22.42918121847109,2019.0,2,10,9,10,9,10,7.0,3,9,2
207,"株式会社ユーザベース",3966.0,1.4392059553349876,2019.0,7,10,8,10,8,10,7.0,3,9,2
208,"株式会社ユーザベース",3966.0,28.79914984059512,2019.0,9,10,8,10,8,9,7.0,4,10,2
209,"株式会社ユーザベース",3966.0,4.846186262115466,2020.0,7,10,9,10,7,9,8.0,3,9,2
210,"株式会社ユーザベース",3966.0,58.96302250803858,2020.0,10,10,9,10,8,9,8.0,3,9,2
211,"株式会社ユーザベース",3966.0,-24.020227560050568,2020.0,2,10,10,10,10,9,8.0,3,10,2
212,"株式会社ユーザベース",3966.0,-17.235772357723576,2020.0,3,10,9,10,9,8,8.0,3,10,2
213,"ブティックス株式会社",9272.0,4.322766570605188,2018.0,7,3,7,5,8,5,1.0,3,1,3
214,"ブティックス株式会社",9272.0,-12.125534950071328,2018.0,4,3,8,5,7,5,1.0,4,1,3
215,"ブティックス株式会社",9272.0,-23.1629392971246,2018.0,2,3,7,5,7,5,4.0,4,2,3
216,"ブティックス株式会社",9272.0,-3.451143451143452,2019.0,5,3,6,4,7,5,5.0,5,2,7
217,"ブティックス株式会社",9272.0,6.494623655913978,2019.0,7,3,6,4,6,5,5.0,5,2,7
218,"ブティックス株式会社",9272.0,-16.045454545454547,2019.0,3,4,6,3,8,4,5.0,6,2,7
219,"ブティックス株式会社",9272.0,-32.21105527638191,2019.0,1,3,5,3,2,4,5.0,6,2,7
220,"ブティックス株式会社",9272.0,72.49814677538917,2020.0,10,4,3,2,4,7,5.0,8,2,4
221,"ブティックス株式会社",9272.0,22.990975504941986,2020.0,9,4,6,4,4,8,5.0,7,2,4
222,"ブティックス株式会社",9272.0,3.7810586964350015,2020.0,7,4,6,5,6,7,5.0,6,2,7
223,"ブティックス株式会社",9272.0,68.57043959847698,2020.0,10,4,7,5,8,7,5.0,6,2,7
224,"ユナイテッド＆コレクティブ株式会社",3557.0,-30.99616858237548,2018.0,1,8,9,6,9,9,9.0,6,5,2
225,"ユナイテッド＆コレクティブ株式会社",3557.0,-17.71238200999445,2018.0,3,9,8,5,8,9,9.0,8,5,2
226,"ユナイテッド＆コレクティブ株式会社",3557.0,-0.1349527665317139,2018.0,6,9,7,4,7,9,9.0,9,5,9
